Order_ID,Order_Date,Shipping_date,Aging,Ship_Mode,Product_Category,Product,jan_Sales,feb_sales,Quantity,Discount,Profit, Shipping_Cost ,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Country,Region,comments
AU-2015-13,7/9/2015,7/16/2015,7,First Class,Auto & Accessories,Car & Bike Care,118,192,1,0.02,35.6,$3.60 ,Critical,WN-0013,Butler Brown,Corporate,Saint-Brieuc,Brittany,France,Central,no
AU-2015-14,7/22/2015,7/27/2015,5,First Class,Auto & Accessories,Tyre,250,65,3,0.04,140,$14.00 ,High,AN-0014,Johnson Abelman,Corporate,Kamina,Katanga,Democratic Republic of the Congo,Africa,no
AU-2015-15,10/12/2015,10/21/2015,9,First Class,Auto & Accessories,Bike Tyres,72,130,4,0.01,18,$1.80 ,Medium,EY-0015,Greene Decherney,Consumer,Brisbane,Queensland,Australia,Oceania,no
AU-2015-16,2/23/2015,3/5/2015,10,First Class,Auto & Accessories,Car Mat,54,220,2,0.01,27,$2.70 ,Critical,RN-0016,Bentley Zypern,Consumer,Berlin,Berlin,Germany,Central,no
AU-2015-17,5/4/2015,5/8/2015,4,First Class,Auto & Accessories,Car Seat Covers,114,104,2,0.05,22.6,$2.30 ,High,CK-0017,Rivera Black,Consumer,Shouguang,Shandong,China,North Asia,no
AU-2015-18,6/12/2015,6/19/2015,7,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,149,5,0.05,93.3,$9.30 ,High,RE-0018,Wong Macintyre,Consumer,New York City,New York,United States,East,no
AU-2015-19,5/13/2015,5/20/2015,7,First Class,Auto & Accessories,Car Media Players,140,222,2,0.05,46,$4.60 ,Critical,ON-0019,Hendricks Wilson,Consumer,Behshahr,Mazandaran,Iran,EMEA,no
AU-2015-20,7/27/2015,8/2/2015,6,First Class,Auto & Accessories,Car Speakers,211,199,2,0.02,122.6,$12.30 ,Critical,ED-0020,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,no
AU-2015-21,12/9/2015,12/13/2015,4,First Class,Auto & Accessories,Car Body Covers,117,111,5,0.01,31.2,$3.10 ,Critical,AM-0021,Barr Sundaresam,Consumer,Bhopal,Madhya Pradesh,India,Central Asia,no
AU-2015-22,2/9/2015,2/16/2015,7,First Class,Auto & Accessories,Car & Bike Care,118,33,2,0.03,30.9,$3.10 ,High,KE-0022,Holt Glocke,Corporate,Seattle,Washington,United States,West,
AU-2015-23,7/20/2015,7/26/2015,6,First Class,Auto & Accessories,Tyre,250,250,4,0.02,150,$15.00 ,High,LL-0023,Gaines O'Carroll,Consumer,Geraldton,Western Australia,Australia,Oceania,
AU-2015-24,11/22/2015,11/24/2015,2,First Class,Auto & Accessories,Bike Tyres,72,83,4,0.02,18,$1.80 ,Critical,CO-0024,Copeland Lomonaco,Corporate,Celle,Lower Saxony,Germany,Central,
AU-2015-25,2/22/2015,3/2/2015,8,First Class,Auto & Accessories,Car Mat,54,192,1,0.05,54,$5.40 ,High,NA-0025,Vasquez Dona,Consumer,Seville,Andalusía,Spain,South,
AU-2015-26,4/6/2015,4/10/2015,4,First Class,Auto & Accessories,Car Seat Covers,114,65,4,0.02,24.9,$2.50 ,Critical,LL-0026,Freeman Castell,Corporate,Raipur,Uttarakhand,India,Central Asia,
AU-2015-27,7/27/2015,8/4/2015,8,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,130,1,0.03,144.1,$14.40 ,Critical,LE-0027,Reid Engle,Home Office,Kharkiv,Kharkiv,Ukraine,EMEA,
AU-2015-28,9/29/2015,10/5/2015,6,First Class,Auto & Accessories,Car Media Players,140,220,1,0.03,55.8,$5.60 ,High,NG-0028,Harris Armstrong,Corporate,Jinan,Shandong,China,North Asia,
AU-2015-29,4/11/2015,4/18/2015,7,First Class,Auto & Accessories,Car Speakers,211,104,3,0.03,112,$11.20 ,Medium,ED-0029,Everett Sweed,Consumer,Chinandega,Chinandega,Nicaragua,Central,
AU-2015-30,1/23/2015,1/27/2015,4,First Class,Auto & Accessories,Car Body Covers,117,149,1,0.02,34.7,$3.50 ,High,AS-0030,Poole Lucas,Corporate,Palembang,Sumatera Selatan,Indonesia,Southeast Asia,
AU-2015-31,3/31/2015,4/9/2015,9,First Class,Auto & Accessories,Car & Bike Care,118,222,3,0.03,27.4,$2.70 ,Critical,WN-0031,Gonzales Brown,Consumer,Duisburg,North Rhine-Westphalia,Germany,Central,
AU-2015-32,11/24/2015,11/29/2015,5,First Class,Auto & Accessories,Tyre,250,199,1,0.02,165,$16.50 ,Medium,AN-0032,Perry Brennan,Consumer,Tongi,Dhaka,Bangladesh,Central Asia,
AU-2015-33,8/24/2015,9/3/2015,10,First Class,Auto & Accessories,Bike Tyres,72,111,4,0.05,18,$1.80 ,High,KI-0033,Garner Hirasaki,Consumer,Suzhou,Anhui,China,North Asia,
AU-2015-34,5/4/2015,5/9/2015,5,First Class,Auto & Accessories,Car Mat,54,33,4,0.05,13.5,$1.40 ,Critical,EE-0034,Norton Magee,Corporate,Henderson,Nevada,United States,West,
AU-2015-35,7/15/2015,7/16/2015,1,First Class,Auto & Accessories,Car Seat Covers,114,250,4,0.01,29.4,$2.90 ,High,ON-0035,Bean Thompson,Corporate,Manila,National Capital,Philippines,Southeast Asia,
AU-2015-36,10/3/2015,10/7/2015,4,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,83,2,0.05,127.9,$12.80 ,High,SH-0036,Bond Overcash,Consumer,Graz,Styria,Austria,Central,
AU-2015-37,6/28/2015,7/4/2015,6,First Class,Auto & Accessories,Car Media Players,140,192,5,0.04,32,$3.20 ,Medium,KE-0037,Holt Glocke,Corporate,Puebla,Puebla,Mexico,North,
AU-2015-38,8/1/2015,8/4/2015,3,First Class,Auto & Accessories,Car Speakers,211,65,4,0.01,122.6,$12.30 ,Critical,YD-0038,Moran Lloyd,Consumer,Augsburg,Bavaria,Germany,Central,
AU-2015-39,6/7/2015,6/9/2015,2,First Class,Auto & Accessories,Car Body Covers,117,130,1,0.04,32.3,$3.20 ,High,MS-0039,Jones Adams,Home Office,Medellín,Antioquia,Colombia,South,
AU-2015-40,8/16/2015,8/22/2015,6,First Class,Auto & Accessories,Car & Bike Care,118,220,5,0.04,14.4,$1.40 ,Critical,RE-0040,Wong Macintyre,Consumer,Sydney,New South Wales,Australia,Oceania,
AU-2015-41,7/9/2015,7/13/2015,4,First Class,Auto & Accessories,Tyre,250,104,5,0.03,132.5,$13.30 ,Critical,ER-0041,Strong Schoenberger,Corporate,Los Angeles,California,United States,West,
AU-2015-42,2/25/2015,3/5/2015,8,First Class,Auto & Accessories,Bike Tyres,72,149,5,0.02,14.4,$1.40 ,Critical,IN-0042,Terrell Zeldin,Consumer,Zigong,Sichuan,China,North Asia,
AU-2015-43,10/26/2015,10/27/2015,1,First Class,Auto & Accessories,Car Mat,54,222,5,0.01,10.8,$1.10 ,High,EN-0043,Reyes Christensen,Consumer,Adelaide,South Australia,Australia,Oceania,
AU-2015-44,12/22/2015,12/27/2015,5,First Class,Auto & Accessories,Car Seat Covers,114,199,4,0.04,15.8,$1.60 ,Critical,DI-0044,Dean Etezadi,Consumer,Kuantan,Pahang,Malaysia,Southeast Asia,
AU-2015-45,4/24/2015,5/1/2015,7,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,111,4,0.04,114,$11.40 ,High,TT-0045,Hess Prescott,Home Office,Harrisonburg,Virginia,United States,South,
AU-2015-46,9/20/2015,9/28/2015,8,First Class,Auto & Accessories,Car Media Players,140,33,2,0.05,46,$4.60 ,Critical,ER-0046,Russo Webber,Consumer,Everett,Massachusetts,United States,East,
AU-2015-47,3/12/2015,3/18/2015,6,First Class,Auto & Accessories,Car Speakers,211,250,1,0.01,128.9,$12.90 ,Critical,CH-0047,Kerr Toch,Corporate,Vadodara,Gujarat,India,Central Asia,
AU-2015-48,3/30/2015,3/31/2015,1,First Class,Auto & Accessories,Car Body Covers,117,83,4,0.05,13.6,$1.40 ,Critical,CK-0048,Anthony Myrick,Consumer,Sanya,Hainan,China,North Asia,
AU-2015-49,7/23/2015,7/29/2015,6,First Class,Auto & Accessories,Car & Bike Care,118,192,5,0.04,14.4,$1.40 ,Critical,TT-0049,Fuller Eplett,Corporate,San Diego,California,United States,West,
AU-2015-50,1/25/2015,1/30/2015,5,First Class,Auto & Accessories,Tyre,250,65,2,0.01,165,$16.50 ,Medium,RS-0050,Hernandez Badders,Home Office,Guaymas,Sonora,Mexico,North,
AU-2015-51,6/5/2015,6/8/2015,3,First Class,Auto & Accessories,Bike Tyres,72,130,2,0.01,36,$3.60 ,Critical,AN-0051,Smith Abelman,Consumer,Wuhan,Hubei,China,North Asia,
AU-2015-52,11/27/2015,12/3/2015,6,First Class,Auto & Accessories,Car Mat,54,220,5,0.03,10.8,$1.10 ,High,LE-0052,Mcdowell Roelle,Consumer,Madison,Wisconsin,United States,Central,
AU-2015-53,6/19/2015,6/23/2015,4,First Class,Auto & Accessories,Car Seat Covers,114,104,4,0.05,11.2,$1.10 ,High,IS-0053,Humphrey Preis,Home Office,Salto,São Paulo,Brazil,South,
AU-2015-54,10/14/2015,10/16/2015,2,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,149,2,0.04,132.5,$13.30 ,High,LY-0054,Winters Shonely,Consumer,Hargeysa,Woqooyi Galbeed,Somalia,Africa,
AU-2015-55,7/1/2015,7/7/2015,6,First Class,Auto & Accessories,Car Media Players,140,222,2,0.03,51.6,$5.20 ,High,NT-0055,Heath O'Briant,Home Office,Perth,Western Australia,Australia,Oceania,
AU-2015-56,8/11/2015,8/16/2015,5,First Class,Auto & Accessories,Car Speakers,211,199,1,0.01,128.9,$12.90 ,Critical,IE-0056,Clayton Marie,Consumer,Anshan,Liaoning,China,North Asia,
AU-2015-57,9/1/2015,9/9/2015,8,First Class,Auto & Accessories,Car Body Covers,117,111,4,0.02,27.6,$2.80 ,High,SS-0057,Steele Gross,Consumer,Amsterdam,North Holland,Netherlands,Central,
AU-2015-58,2/16/2015,2/21/2015,5,First Class,Auto & Accessories,Car & Bike Care,118,33,3,0.05,20.3,$2.00 ,Critical,ON-0058,Trujillo Sheldon,Consumer,Le Petit-Quevilly,Upper Normandy,France,Central,
AU-2015-59,1/6/2015,1/12/2015,6,First Class,Auto & Accessories,Tyre,250,250,1,0.04,160,$16.00 ,Medium,EN-0059,Kelly Braden,Corporate,Detroit,Michigan,United States,Central,
AU-2015-60,9/4/2015,9/7/2015,3,First Class,Auto & Accessories,Bike Tyres,72,83,2,0.03,36,$3.60 ,High,ON-0060,Yates Johnson,Consumer,Hamburg,Hamburg,Germany,Central,
AU-2015-61,12/27/2015,1/5/2016,9,First Class,Auto & Accessories,Car Mat,54,192,5,0.01,10.8,$1.10 ,High,KS-0061,Flores Brooks,Home Office,Morelia,Michoacán,Mexico,North,
AU-2015-62,3/27/2015,4/5/2015,9,First Class,Auto & Accessories,Car Seat Covers,114,65,3,0.01,30.6,$3.10 ,High,ON-0062,Sellers Stevenson,Consumer,Changchun,Jilin,China,North Asia,
AU-2015-63,8/27/2015,9/4/2015,8,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,130,5,0.02,127.9,$12.80 ,Medium,EY-0063,Carpenter Decherney,Corporate,Madrid,Madrid,Spain,South,
AU-2015-64,8/24/2015,8/26/2015,2,First Class,Auto & Accessories,Car Media Players,140,220,1,0.05,53,$5.30 ,Critical,ED-0064,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,
AU-2015-65,4/9/2015,4/13/2015,4,First Class,Auto & Accessories,Car Speakers,211,104,2,0.05,109.9,$11.00 ,Medium,RE-0065,Knox Sayre,Consumer,Newcastle,New South Wales,Australia,Oceania,
AU-2015-66,8/20/2015,8/22/2015,2,First Class,Auto & Accessories,Car Body Covers,117,149,1,0.02,34.7,$3.50 ,High,LL-0066,Leblanc Spruell,Consumer,Surakarta,Jawa Tengah,Indonesia,Southeast Asia,
AU-2015-67,2/8/2015,2/11/2015,3,First Class,Auto & Accessories,Car & Bike Care,118,222,1,0.01,36.8,$3.70 ,High,SS-0067,Berg Weiss,Home Office,New York City,New York,United States,East,
AU-2015-68,11/26/2015,11/27/2015,1,First Class,Auto & Accessories,Tyre,250,199,1,0.01,167.5,$16.80 ,High,EN-0068,Kelly Braden,Corporate,Beijing,Beijing,China,North Asia,
AU-2015-69,5/19/2015,5/21/2015,2,First Class,Auto & Accessories,Bike Tyres,72,111,1,0.02,72,$7.20 ,High,LO-0069,Sanford Zydlo,Corporate,London,England,United Kingdom,North,
AU-2015-70,7/23/2015,7/27/2015,4,First Class,Auto & Accessories,Car Mat,54,33,1,0.03,54,$5.40 ,Critical,ER-0070,Russo Webber,Consumer,Talence,Aquitaine,France,Central,
AU-2015-71,3/6/2015,3/8/2015,2,First Class,Auto & Accessories,Car Seat Covers,114,250,4,0.03,20.3,$2.00 ,Medium,NT-0071,Ferguson Conant,Corporate,Aurangabad,Bihar,India,Central Asia,
AU-2015-72,9/20/2015,9/23/2015,3,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,83,3,0.05,116.4,$11.60 ,Medium,ON-0072,Santiago Grayson,Corporate,Los Angeles,California,United States,West,
AU-2015-73,10/7/2015,10/13/2015,6,First Class,Auto & Accessories,Car Media Players,140,192,4,0.05,32,$3.20 ,High,RT-0073,Foley Stewart,Consumer,Marikina,National Capital,Philippines,Southeast Asia,
AU-2015-74,5/30/2015,5/31/2015,1,First Class,Auto & Accessories,Car Speakers,211,65,5,0.01,120.5,$12.00 ,Critical,EP-0074,Dorsey Prichep,Home Office,Johannesburg,Gauteng,South Africa,Africa,
AU-2015-75,12/19/2015,12/23/2015,4,First Class,Auto & Accessories,Car Body Covers,117,130,4,0.01,32.3,$3.20 ,High,AN-0075,Miranda Ryan,Home Office,Providence,Rhode Island,United States,East,
AU-2015-76,12/3/2015,12/5/2015,2,First Class,Auto & Accessories,Car & Bike Care,118,220,1,0.01,36.8,$3.70 ,High,CH-0076,Parsons Leinenbach,Corporate,Qingdao,Shandong,China,North Asia,
AU-2015-77,4/28/2015,5/7/2015,9,First Class,Auto & Accessories,Tyre,250,104,4,0.03,140,$14.00 ,Critical,NN-0077,Bruce Nunn,Home Office,Kozhikode,Kerala,India,Central Asia,
AU-2015-78,12/12/2015,12/22/2015,10,First Class,Auto & Accessories,Bike Tyres,72,149,4,0.04,18,$1.80 ,Critical,ON-0078,Sherman Knutson,Corporate,Adelaide,South Australia,Australia,Oceania,
AU-2015-79,9/19/2015,9/23/2015,4,First Class,Auto & Accessories,Car Mat,54,222,5,0.03,10.8,$1.10 ,High,LL-0079,Gibson Carroll,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,
AU-2015-80,6/25/2015,7/3/2015,8,First Class,Auto & Accessories,Car Seat Covers,114,199,1,0.05,28.3,$2.80 ,Critical,NS-0080,Perkins Cousins,Consumer,Columbus,Ohio,United States,East,
AU-2015-81,1/19/2015,1/27/2015,8,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,111,1,0.03,144.1,$14.40 ,High,NA-0081,Vasquez Dona,Consumer,Xiangtan,Hunan,China,North Asia,
AU-2015-82,6/17/2015,6/25/2015,8,First Class,Auto & Accessories,Car Media Players,140,33,1,0.01,58.6,$5.90 ,High,SH-0082,Mann Hirsh,Corporate,Marikina,National Capital,Philippines,Southeast Asia,
AU-2015-83,4/11/2015,4/21/2015,10,First Class,Auto & Accessories,Car Speakers,211,250,5,0.03,99.4,$9.90 ,High,ER-0083,Golden Ritter,Consumer,Dijon,Burgundy,France,Central,
AU-2015-84,6/3/2015,6/4/2015,1,First Class,Auto & Accessories,Car Body Covers,117,83,3,0.02,30,$3.00 ,Critical,ON-0084,Walton Jackson,Consumer,Cairo,Al Qahirah,Egypt,Africa,
AU-2015-85,5/23/2015,5/24/2015,1,First Class,Auto & Accessories,Car & Bike Care,118,192,2,0.04,28.6,$2.90 ,High,NI-0085,Blanchard Vittorini,Consumer,Detroit,Michigan,United States,Central,
AU-2015-86,6/29/2015,7/2/2015,3,First Class,Auto & Accessories,Tyre,250,65,4,0.05,120,$12.00 ,Critical,LE-0086,Tucker Caudle,Consumer,New York City,New York,United States,East,
AU-2015-87,3/28/2015,4/4/2015,7,First Class,Auto & Accessories,Bike Tyres,72,130,2,0.02,36,$3.60 ,High,EN-0087,Hodge Moren,Consumer,Burnley,England,United Kingdom,North,
AU-2015-88,5/12/2015,5/19/2015,7,First Class,Auto & Accessories,Car Mat,54,220,2,0.03,27,$2.70 ,Critical,EN-0088,Duncan Dahlen,Home Office,Laval,Pays de la Loire,France,Central,
AU-2015-89,3/24/2015,3/25/2015,1,First Class,Auto & Accessories,Car Seat Covers,114,104,2,0.04,24.9,$2.50 ,High,ER-0089,Estrada Kiefer,Consumer,Buenos Aires,Buenos Aires,Argentina,South,
AU-2015-90,12/28/2015,1/1/2016,4,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,149,5,0.04,104.8,$10.50 ,Critical,EN-0090,Miller Allen,Consumer,Kochi,Kerala,India,Central Asia,
AU-2015-91,6/1/2015,6/3/2015,2,First Class,Auto & Accessories,Car Media Players,140,222,1,0.04,54.4,$5.40 ,High,IS-0091,Riley Davis,Corporate,Maseru,Maseru,Lesotho,Africa,
AU-2015-92,9/7/2015,9/12/2015,5,First Class,Auto & Accessories,Car Speakers,211,199,3,0.01,124.7,$12.50 ,Critical,LL-0092,Mcclain O'Donnell,Corporate,Matagalpa,Matagalpa,Nicaragua,Central,
AU-2015-93,11/25/2015,12/5/2015,10,First Class,Auto & Accessories,Car Body Covers,117,111,2,0.02,32.3,$3.20 ,Critical,EN-0093,Gardner Craven,Consumer,Managua,Managua,Nicaragua,Central,
AU-2015-94,7/4/2015,7/6/2015,2,First Class,Auto & Accessories,Car & Bike Care,118,33,4,0.04,19.1,$1.90 ,Critical,DE-0094,Fletcher Gnade,Corporate,Strasbourg,Alsace,France,Central,
AU-2015-95,7/31/2015,8/8/2015,8,First Class,Auto & Accessories,Tyre,250,250,4,0.03,140,$14.00 ,High,ER-0095,Elliott Deggeller,Consumer,Surabaya,Jawa Timur,Indonesia,Southeast Asia,
AU-2015-96,4/10/2015,4/15/2015,5,First Class,Auto & Accessories,Bike Tyres,72,83,2,0.01,36,$3.60 ,Critical,ON-0096,Stokes Knudson,Consumer,Tupã,São Paulo,Brazil,South,
AU-2015-97,1/24/2015,1/31/2015,7,First Class,Auto & Accessories,Car Mat,54,192,5,0.02,10.8,$1.10 ,High,ON-0097,Hatfield Trafton,Consumer,Vienna,Vienna,Austria,Central,
AU-2015-98,3/5/2015,3/13/2015,8,First Class,Auto & Accessories,Car Seat Covers,114,65,3,0.04,20.3,$2.00 ,High,ND-0098,Henry Chand,Consumer,Hirakata,Osaka,Japan,North Asia,
AU-2015-99,2/15/2015,2/20/2015,5,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,130,2,0.02,141.8,$14.20 ,Critical,ND-0099,York Redmond,Home Office,Granollers,Catalonia,Spain,South,
AU-2015-100,8/6/2015,8/8/2015,2,First Class,Auto & Accessories,Car Media Players,140,220,1,0.01,58.6,$5.90 ,Critical,CK-00100,Rivera Black,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,
AU-2015-101,4/17/2015,4/23/2015,6,First Class,Auto & Accessories,Car Speakers,211,104,5,0.03,99.4,$9.90 ,Critical,RN-00101,Cook Bern,Consumer,Amsterdam,North Holland,Netherlands,Central,
AU-2015-102,2/24/2015,2/26/2015,2,First Class,Auto & Accessories,Car Body Covers,117,149,3,0.03,26.5,$2.60 ,High,LL-00102,Marshall Carroll,Consumer,Milpa Alta,Distrito Federal,Mexico,North,
AU-2015-103,7/22/2015,7/26/2015,4,First Class,Auto & Accessories,Car & Bike Care,118,222,5,0.04,14.4,$1.40 ,Critical,SE-00103,Blankenship Reese,Consumer,Los Angeles,California,United States,West,
AU-2015-104,4/6/2015,4/16/2015,10,First Class,Auto & Accessories,Tyre,250,199,3,0.05,132.5,$13.30 ,High,LO-00104,Sanford Zydlo,Corporate,San Francisco,California,United States,West,
AU-2015-105,3/8/2015,3/14/2015,6,First Class,Auto & Accessories,Bike Tyres,72,111,4,0.03,18,$1.80 ,High,EN-00105,Sexton Sorensen,Consumer,Izmir,Izmir,Turkey,EMEA,
AU-2015-106,9/22/2015,9/23/2015,1,First Class,Auto & Accessories,Car Mat,54,33,5,0.01,10.8,$1.10 ,Critical,ER-00106,Coleman Bremer,Consumer,Yaounde,Centre,Cameroon,Africa,
AU-2015-107,11/1/2015,11/2/2015,1,First Class,Auto & Accessories,Car Seat Covers,114,250,2,0.02,29.4,$2.90 ,Critical,TZ-00107,Maxwell Katz,Consumer,Santander,Cantabria,Spain,South,
AU-2015-108,7/5/2015,7/12/2015,7,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,83,3,0.02,137.1,$13.70 ,Critical,IN-00108,Love Grinstein,Consumer,Cangzhou,Hebei,China,North Asia,
AU-2015-109,4/25/2015,5/1/2015,6,First Class,Auto & Accessories,Car Media Players,140,192,4,0.03,43.2,$4.30 ,Medium,AS-00109,Porter Cazamias,Consumer,Shanghai,Shanghai,China,North Asia,
AU-2015-110,8/27/2015,9/6/2015,10,First Class,Auto & Accessories,Car Speakers,211,65,3,0.05,99.4,$9.90 ,Critical,NE-00110,Cobb Kane,Consumer,León,León,Nicaragua,Central,
AU-2015-111,6/10/2015,6/14/2015,4,First Class,Auto & Accessories,Car Body Covers,117,130,5,0.05,7.8,$0.80 ,Critical,ER-00111,Russo Webber,Consumer,Tallahassee,Florida,United States,South,
AU-2015-112,2/10/2015,2/12/2015,2,First Class,Auto & Accessories,Car & Bike Care,118,220,3,0.01,34.5,$3.40 ,Medium,LL-00112,Hancock O'Brill,Consumer,Port Elizabeth,Eastern Cape,South Africa,Africa,
AU-2015-113,11/4/2015,11/14/2015,10,First Class,Auto & Accessories,Tyre,250,104,5,0.01,157.5,$15.80 ,High,SH-00113,Bond Overcash,Consumer,Newark,Ohio,United States,East,
AU-2015-114,11/22/2015,12/1/2015,9,First Class,Auto & Accessories,Bike Tyres,72,149,2,0.03,36,$3.60 ,High,PO-00114,Graham Cacioppo,Home Office,Cambridge,England,United Kingdom,North,
AU-2015-115,10/15/2015,10/20/2015,5,First Class,Auto & Accessories,Car Mat,54,222,4,0.02,13.5,$1.40 ,High,ZO-00115,Fox D'Ascenzo,Home Office,Munster,Lower Saxony,Germany,Central,
AU-2015-116,6/7/2015,6/14/2015,7,First Class,Auto & Accessories,Car Seat Covers,114,199,5,0.05,5.5,$0.60 ,High,CK-00116,Barnett Garverick,Home Office,Gyula,Bekes,Hungary,EMEA,
AU-2015-117,12/25/2015,12/26/2015,1,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,111,4,0.02,132.5,$13.30 ,Critical,EN-00117,Gardner Craven,Consumer,Managua,Managua,Nicaragua,Central,
AU-2015-118,8/16/2015,8/17/2015,1,First Class,Auto & Accessories,Car Media Players,140,33,1,0.04,54.4,$5.40 ,High,RI-00118,Ayala Molinari,Consumer,Turin,Piedmont,Italy,South,
AU-2015-119,7/9/2015,7/17/2015,8,First Class,Auto & Accessories,Car Speakers,211,250,3,0.04,105.7,$10.60 ,High,IS-00119,Parrish Preis,Home Office,Barcelona,Catalonia,Spain,South,
AU-2015-120,6/8/2015,6/15/2015,7,First Class,Auto & Accessories,Car Body Covers,117,83,5,0.01,31.2,$3.10 ,Critical,LL-00120,Dominguez Norvell,Consumer,Clermont-Ferrand,Auvergne,France,Central,
AU-2015-121,11/15/2015,11/23/2015,8,First Class,Auto & Accessories,Car & Bike Care,118,192,5,0.03,20.3,$2.00 ,High,OS-00121,Browning Staavos,Corporate,San Francisco,California,United States,West,
AU-2015-122,6/26/2015,7/1/2015,5,First Class,Auto & Accessories,Tyre,250,65,4,0.05,120,$12.00 ,High,LL-00122,Gibson Carroll,Consumer,Bayeux,Paraíba,Brazil,South,
AU-2015-123,10/13/2015,10/19/2015,6,First Class,Auto & Accessories,Bike Tyres,72,130,4,0.03,18,$1.80 ,Critical,IS-00123,Saunders Kotsonis,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,
AU-2015-124,1/27/2015,2/3/2015,7,First Class,Auto & Accessories,Car Mat,54,220,1,0.01,54,$5.40 ,High,ST-00124,Bullock Prost,Consumer,Perth,Western Australia,Australia,Oceania,
AU-2015-125,8/31/2015,9/7/2015,7,First Class,Auto & Accessories,Car Seat Covers,114,104,3,0.02,27.2,$2.70 ,High,RK-00125,Holmes Clark,Corporate,Darwin,Northern Territory,Australia,Oceania,
AU-2015-126,7/22/2015,8/1/2015,10,First Class,Auto & Accessories,Car Pillow & Neck Rest,231,149,1,0.01,148.7,$14.90 ,Critical,ER-00126,Murphy Bierner,Consumer,Bayeux,Lower Normandy,France,Central,
